State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,Location
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee-Months: Ages 0-19 [Lower rates are better]",2016,Medicaid & CHIP,Administrative,34.5,44,43.3,49.4,39,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.1801, -91.8749)"
Tennessee,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,CHIP only,Hybrid,65.4,40,79.4,70.9,84.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.7449, -86.7489)"
Illinois,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,Medicaid & CHIP,Administrative,71.1,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.3363, -89.0022)"
Vermont,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid & CHIP,Administrative,52.5,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.0407, -72.7093)"
New York,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2016,Medicaid & CHIP,Administrative,67.4,40,60.7,49.1,67.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.1497, -74.9384)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,CHIP only,Administrative,88.9,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.6411, -79.8431)"
Illinois,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid & CHIP,Administrative,21.5,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.3363, -89.0022)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2016,Medicaid only,Administrative,28,39,27.5,24.4,36.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.7673, -89.6812)"
Rhode Island,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,47.4,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(41.6772, -71.5101)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,20.8,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(27.8333, -81.717)"
North Carolina,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2016,Medicaid only,Administrative,24.7,34,23.4,21,26.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.6411, -79.8431)"
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2016,Medicaid only,Administrative,54.4,40,27.3,24.2,34.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.468, -80.9696)"
Maine,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid & CHIP,Administrative,89.3,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.6074, -69.3977)"
Tennessee,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid only,Administrative,56,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.7449, -86.7489)"
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid & CHIP,Administrative,89.8,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.5376, -96.9247)"
Kentucky,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,17.6,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(37.669, -84.6514)"
Florida,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid & CHIP,Administrative,29.1,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(27.8333, -81.717)"
Ohio,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2016,Medicaid & CHIP,Administrative,88,46,89.6,85.5,92,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.3736, -82.7755)"
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2016,Medicaid only,Administrative,50.1,40,48.8,43,54.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.799, -86.8073)"
Texas,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2016,CHIP only,Hybrid,80.1,47,68,59.6,75.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.106, -97.6475)"
New Hampshire,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2016,Medicaid only,Administrative,34.1,40,27.3,24.2,34.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(43.4108, -71.5653)"
Massachusetts,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,54.6,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(42.2373, -71.5314)"
Missouri,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid & CHIP,Administrative,34,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4623, -92.302)"
Washington,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Administrative,25.4,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(47.3917, -121.5708)"
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visit: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2016,Medicaid & CHIP,Administrative,35.2,46,45.1,36.1,56.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(34.9513, -92.3809)"
Tennessee,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,Medicaid only,Administrative,91.1,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.7449, -86.7489)"
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid & CHIP,Administrative,19.2,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.1801, -91.8749)"
Indiana,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid & CHIP,Administrative,68.5,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(39.8647, -86.2604)"
Utah,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 19-20,2016,CHIP only,Administrative,,20,31.8,26.3,39.8,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Iowa,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2016,CHIP only,Administrative,91.9,46,89.6,85.5,92,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(42.0046, -93.214)"
Oregon,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee-Months: Ages 0-19 [Lower rates are better]",2016,Medicaid & CHIP,Administrative,32,44,43.3,49.4,39,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.5672, -122.1269)"
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,23.6,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(41.5834, -72.7622)"
Utah,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,Medicaid only,Administrative,87.7,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Maine,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2016,Medicaid & CHIP,Administrative,69.9,46,60.8,54.2,67.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.6074, -69.3977)"
Texas,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2016,Medicaid only,Administrative,96.2,46,95.2,93.5,96.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(31.106, -97.6475)"
Michigan,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,Medicaid only,Administrative,90.9,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(43.3504, -84.5603)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1) by their 13th Birthday,2016,Medicaid only,Hybrid,76.8,43,70.3,56.5,79.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4199, -117.1219)"
Pennsylvania,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2016,Medicaid only,Hybrid,71.5,33,61.5,47.6,68.7,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.5773, -77.264)"
California,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,Medicaid & CHIP,Administrative,86.1,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(36.17, -119.7462)"
Missouri,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1) by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,49.6,43,70.3,56.5,79.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4623, -92.302)"
Nevada,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2016,CHIP only,Administrative,89.6,42,68,56.5,77.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.4199, -117.1219)"
Washington,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid & CHIP,Administrative,83.6,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(47.3917, -121.5708)"
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2016,Medicaid & CHIP,Administrative,87.9,46,87.7,84.4,89.8,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(38.8964, -77.0262)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents: Age 13,HPV-CH,Percentage of Female Adolescents Receiving Three Human Papillomavirus Vaccine Doses by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,22.5,41,20.8,16.2,23.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.9866, -83.6487)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2016,Medicaid & CHIP,Administrative,87.7,46,90.9,87.7,93.2,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(33.8191, -80.9066)"
Pennsylvania,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2016,Medicaid & CHIP,Administrative,38.7,40,60.7,49.1,67.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.5773, -77.264)"
Idaho,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2016,Medicaid & CHIP,Administrative,58.1,39,25.8,22.9,33.9,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(44.2394, -114.5103)"
Nevada,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2016,Medicaid only,Administrative,43.2,50,48.2,43.2,52.5,,"Mathematica analysis of FFY 2016 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b.","(38.4199, -117.1219)"
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2016,Medicaid & CHIP,Administrative,54.2,46,60.8,54.2,67.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(33.8191, -80.9066)"
Alabama,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17 [Lower rates are better],2016,CHIP only,Administrative,1.8,32,3,4.8,1.7,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(32.799, -86.8073)"
North Carolina,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2016,CHIP only,Administrative,42.1,40,48.8,43,54.6,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(35.6411, -79.8431)"
Utah,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2016,Medicaid only,Hybrid,81.5,40,79.4,70.9,84.5,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(40.1135, -111.8535)"
Kentucky,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2016,Medicaid & CHIP,Administrative,36.2,41,44.7,34,60,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(37.669, -84.6514)"
California,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1) by their 13th Birthday,2016,Medicaid & CHIP,Hybrid,74.2,43,70.3,56.5,79.4,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(36.17, -119.7462)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2016,Medicaid & CHIP,Hybrid,71.9,41,68.5,61,73.3,,Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.,"(27.8333, -81.717)"
