State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Location
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,Medicaid & CHIP,Hybrid,61.5,49,59.3,55.7,66.1,,"Rate includes managed care population (5 MCOs), representing more than 90 percent of the population. Rate excludes FFS population, representing less than 10 percent of the population. Denominator is the sample size; measure-eligible population is 19,654.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Jersey
(40.110253, -74.655514)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2017,Medicaid only,Administrative,39.6,40,26.9,24.1,32.2,,"Medicaid rates include managed care population (2 MCOs), representing 85 percent of the population. Rates exclude FFS population, representing 15 percent of the population. State is unable to report the Total rate for FFY 2017.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,CHIP only,Administrative,48.4,44,47.8,39.7,64,,CHIP rates include FFS and managed care populations (3 MCOs). Numerators include services with a primary diagnosis of mental health diagnosis or mental illness because provider type is not complete in the state's data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
California,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid & CHIP,Hybrid,84.0,39,81.6,75.6,87.4,,"Rate includes managed care population (26 MCOs), representing 86 percent of the Medicaid population and 93 percent of the CHIP population. Rate excludes FFS population, representing 14 percent of the Medicaid population and 7 percent of the CHIP population, and managed care enrollees who were not in the same MCO for the entire continuous enrollment period. Denominator is the sample size; measure-eligible population is 115,341. Rate is provisional due to changes in the Medicaid program and data systems during this period.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
New Hampshire,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,Medicaid only,Administrative,67.7,44,47.8,39.7,64,,"Rates include managed care population (2 MCOs), representing 91 percent of the population. Rates exclude FFS population, representing 9 percent of the population. Rates may exclude data from the state-run acute psychiatric hospital. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Arizona,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2017,Medicaid only,Administrative,23.6,27,39.8,17.8,53.9,,"Rate includes managed care population (9 MCOs), representing 92 percent of the population. Rate excludes FFS population, representing 8 percent of the population. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
Kentucky,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid & CHIP,Hybrid,81.6,39,81.6,75.6,87.4,,"Rate includes managed care population (5 MCOs), representing 95 percent of the population. Rate excludes FFS population, representing 5 percent of the population. Denominator is the sample size; measure-eligible population is 22,922. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Illinois,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid & CHIP,Administrative,17.4,30,22.9,18,24.9,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
New York,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,Medicaid & CHIP,Hybrid,66.5,34,61.7,43.5,67,,"Rate includes managed care population (19 MCOs), representing 89 percent of the Medicaid population and all CHIP children. Rate excludes FFS population, representing 11 percent of the Medicaid population. Denominator is the sample size; measure-eligible population is 88,461. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Ohio,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,61.8,44,47.8,39.7,64,,"Rates include managed care population (5 MCOs), representing 89 percent of the population. Rates exclude FFS population, representing 11 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Ohio
(40.415534, -82.70936)"
Idaho,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,Medicaid & CHIP,Administrative,92.3,48,95.2,93.3,96.6,,Rates include FFS and PCCM populations. State implemented a Patient Centered Medical Home model in 2016.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Idaho
(44.389073, -114.659366)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,Medicaid only,Administrative,20.5,40,27.9,24.5,33,,"Medicaid rates include managed care population (2 MCOs), representing 85 percent of the population. Rates exclude FFS population, representing 15 percent of the population. State is unable to report the Total rate for FFY 2017.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Florida,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-11,2017,Medicaid & CHIP,Administrative,26.2,40,27.9,24.5,33,,"Rates include FFS, PCCM, and managed care populations (21 MCOs). Total rate includes children ages 5 to 18 in FFS, PCCM, and MCOs and children ages 19 to 20 in FFS and PCCM. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,CHIP only,Administrative,94.2,48,90.8,87.6,93.6,,"CHIP rates include FFS and PCCM populations. CHIP population includes children age 6 and older. As a result, the state did not report a CHIP rate for children ages 12 to 24 months and the 25 months to 6 years rate includes only children age 6. State attributes rate increases from FFY 2016 to PCCM involvement.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Louisiana,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Administrative,62.9,50,66.7,58.2,76.1,,Rate includes FFS and managed care populations (5 MCOs). Rate was calculated using HEDIS-certified code and the state conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Kentucky,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid & CHIP,Administrative,71.0,37,61.5,55,65.4,,"Rates include managed care population (5 MCOs), representing 95 percent of the population. Rates exclude FFS population, representing 5 percent of the population. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,53.5,46,49.4,44.1,58.5,,Rate includes FFS and managed care populations (4 MCOs). Rate was validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Georgia
(32.638481, -83.426574)"
Oklahoma,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid & CHIP,Administrative,24.9,30,22.9,18,24.9,,Rate includes FFS and PCCM populations. State used dental code D1351 to identify sealants for the numerator. State claims data do not contain provider taxonomy codes or tooth number.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid only,Administrative,88.4,48,90.8,87.6,93.6,,Medicaid rates include FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid only,Administrative,95.4,48,90.8,87.6,93.6,,"Rates include managed care population (2 MCOs), representing 91 percent of the population. Rates exclude FFS population, representing 9 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Massachusetts,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid & CHIP,Administrative,32.3,30,22.9,18,24.9,,"Rate includes PCCM and managed care populations (5 MCOs), representing 76 percent of the population. Rate excludes FFS population, representing 24 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Massachusetts
(42.151077, -71.481104)"
Missouri,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,Medicaid & CHIP,Administrative,4.0,37,2.7,3.6,1.6,,Rate includes FFS and managed care populations (3 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
Arizona,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid only,Administrative,78.6,45,69.2,62.5,79.6,,"Rates include managed care population (1 MCO), representing 92 percent of the population. Rates exclude FFS population, representing 8 percent of the population. Rates include services provided by Regional Health Centers, Behavioral Health Outpatient Clinics, Integrated Clinics, and Federally Qualified Health Centers. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
Illinois,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Administrative,48.4,49,44.7,37.9,55.7,,"Rate includes FFS, PCCM, and managed care populations (13 MCOs). Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
Iowa,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,CHIP only,Administrative,53.7,30,22.9,18,24.9,,CHIP rate includes managed care population (1 MCO). State could not identify tooth number for its CHIP population and did not use tooth number in calculating the numerator. State was not able to assess continuous enrollment when calculating the denominator.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Colorado,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,Medicaid & CHIP,Administrative,64.9,43,73.2,56.9,83,,"Rates include FFS, PCCM, and managed care populations (8 MCOs). MCO rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
Maine,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,36.1,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Maine
(45.117911, -69.06137)"
Michigan,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid only,Administrative & Hybrid,55.7,49,44.7,37.9,55.7,,"Rate includes managed care population (11 MCOs), representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population. Rate was derived using both administrative and hybrid method data. One MCO used the administrative method and ten MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
New Hampshire,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2017,Medicaid only,Administrative,49.7,37,50,42.1,55.3,,"Rates include managed care population (2 MCOs), representing 91 percent of the population. Rates exclude FFS population, representing 9 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Arkansas,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid & CHIP,Administrative,18.0,30,22.9,18,24.9,,Rate includes FFS and PCCM populations. State used claim type rather than provider taxonomy to identify dental visits. Rate was audited by state data contractor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
Montana,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,CHIP only,Administrative,28.7,49,44.7,37.9,55.7,,Rate includes FFS population. Rate excludes services provided by Federally Qualified Health Centers and Rural Health Clinics because these services are processed separately.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Montana
(47.033521, -109.645127)"
Nevada,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,42.9,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Delaware,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid & CHIP,Administrative,93.0,48,90.8,87.6,93.6,,"Rates include managed care population (2 MCOs), representing 94 percent of the population. Rates exclude FFS population, representing 6 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,Medicaid & CHIP,Hybrid,77.5,37,61.1,28.8,74.5,,"Rate includes FFS, PCCM, and managed care populations (21 MCOs). Denominator is the sample size; measure-eligible population is 1,139,371. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
Hawaii,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid & CHIP,Administrative,65.4,37,61.5,55,65.4,,Rates include managed care population (5 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Hawaii
(21.361013, -157.854309)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 7-11 Years,2017,Medicaid only,Administrative,87.2,48,90.8,87.6,93.6,,"Medicaid rates include managed care population (2 MCOs), representing 77 percent of the population. Rates exclude FFS population, representing 23 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
West Virginia,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births that Weighed Less than 2,500 Grams",2017,CHIP only,NR,NR,25,9,10.6,8.1,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
North Carolina,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid only,Administrative,33.0,39,27.3,24.3,33,,Medicaid rates include FFS and PCCM populations. Total rate includes children ages 5 to 18. State attributes rate increases from FFY 2016 to PCCM involvement.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Kansas,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,Medicaid & CHIP,Hybrid,43.5,34,61.7,43.5,67,,"Rate includes managed care population (3 MCOs). Denominator is the sample size; measure-eligible population is 11,418. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kansas
(38.484729, -98.38018)"
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 25 Months-6 Years,2017,Medicaid & CHIP,Administrative,82.8,48,87.4,84.9,90.3,,Rates include FFS and PCCM populations. Rates include visits with a PCP and do not exclude specialist visits. Rates were audited by state data contractor.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
District of Columbia,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid & CHIP,Administrative,80.4,46,49.4,44.1,58.5,,"Rate includes managed care population (4 MCOs), representing 91 percent of the population. Rate excludes FFS population, representing 9 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","District of Columbia
(38.904785, -77.016275)"
