State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MN,Minnesota,05/01/2019,Y,P,N,4714,,16432,,21146,,18751,,48,,18799,,519768,,1030084,,43.3504,-84.5603,"(43.3504, -84.5603)",1028956,,1128,
MS,Mississippi,09/01/2013,N,U,Y,,,,,,,,,,,,,,,615556,,38.4623,-92.302,"(38.4623, -92.302)",,,,
NC,North Carolina,09/01/2013,N,U,Y,,,,,,,,,,,,,,,1595952,,32.7673,-89.6812,"(32.7673, -89.6812)",,,,
NE,Nebraska,09/01/2013,N,U,Y,,,,,,,,,,,,,,,244600,,35.6411,-79.8431,"(35.6411, -79.8431)",,,,
NJ,New Jersey,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,1283851,,41.1289,-98.2883,"(41.1289, -98.2883)",,,,
NM,New Mexico,04/01/2020,Y,P,N,14961,,N/A,,14961,,17410,,1150,,18560,,332532,Includes Limited-Benefit Enrollees,752736,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",715720,Includes Limited-Benefit Enrollees,37016,
NY,New York,12/01/2017,Y,U,Y,,,1071875,,1071875,,126508,,14810,,141318,,2452861,,6122240,,34.8375,-106.2371,"(34.8375, -106.2371)",5590461,,531779,
NY,New York,08/01/2019,Y,U,Y,,,774701,,774701,,117313,,9654,,126967,,2418395,,6074851,,34.8375,-106.2371,"(34.8375, -106.2371)",5482585,,592266,
OH,Ohio,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,2130322,,38.4199,-117.1219,"(38.4199, -117.1219)",,,,
OK,Oklahoma,03/01/2018,N,P,Y,42007,,N/A,,42007,,37094,,7260,,44354,,512541,,732697,,42.1497,-74.9384,"(42.1497, -74.9384)",614274,,118423,
OK,Oklahoma,02/01/2020,N,U,Y,32046,Includes Renewals and/or Redeterminations,N/A,,32046,Includes Renewals and/or Redeterminations,41947,Includes Renewals and/or Redeterminations,8800,,50747,Includes Renewals and/or Redeterminations,502359,,716566,,42.1497,-74.9384,"(42.1497, -74.9384)",593369,,123197,
RI,Rhode Island,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,190833,,44.5672,-122.1269,"(44.5672, -122.1269)",,,,
RI,Rhode Island,06/01/2020,Y,P,N,1080,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1080,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",1727,,100,,1827,,117808,,305208,,44.5672,-122.1269,"(44.5672, -122.1269)",275893,,29315,
SC,South Carolina,02/01/2020,N,P,N,25578,,N/A,,25578,,7364,Does Not Include All Medicaid Determinations Made At Application,213,Does Not Include All CHIP Determinations Made At Application,7577,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,637347,,1015327,,40.5773,-77.264,"(40.5773, -77.264)",921816,,93511,
TX,Texas,09/01/2013,N,U,Y,,,,,,,,,,,,,,,4203449,,33.8191,-80.9066,"(33.8191, -80.9066)",,,,
VA,Virginia,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,935434,,35.7449,-86.7489,"(35.7449, -86.7489)",,,,
WV,West Virginia,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,354544,,18.0001,-64.8199,"(18.0001, -64.8199)",,,,
NE,Nebraska,06/01/2019,N,P,N,5534,,N/A,,5534,,5360,,707,,6067,,160271,,240741,,35.6411,-79.8431,"(35.6411, -79.8431)",207681,,33060,
IA,Iowa,09/01/2018,Y,U,Y,13306,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13306,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1305,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1305,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,335304,,668278,,21.1098,-157.5311,"(21.1098, -157.5311)",596530,,71748,
AK,Alaska,04/01/2020,Y,P,N,3041,Includes Renewals and/or Redeterminations,N/A,,3041,Includes Renewals and/or Redeterminations,3439,Includes Renewals and/or Redeterminations; Includes CHIP,184,,3623,Includes Renewals and/or Redeterminations,98473,,226559,,61.385,-152.2683,"(61.385, -152.2683)",210484,,16075,
NH,New Hampshire,10/01/2017,Y,P,N,8623,,N/A,,8623,,5214,,537,,5751,,91451,,183693,,47.5362,-99.793,"(47.5362, -99.793)",169602,,14091,
SD,South Dakota,05/01/2019,N,U,Y,2657,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2657,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1538,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1538,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78976,,111113,,18.2766,-66.335,"(18.2766, -66.335)",95460,,15653,
LA,Louisiana,09/01/2018,Y,P,N,22666,,N/A,,22666,,29195,,2070,,31265,,728076,,1457989,,37.669,-84.6514,"(37.669, -84.6514)",1328341,,129648,
MI,Michigan,04/01/2020,Y,U,Y,66163,,N/A,,66163,,72836,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1964,,74800,,957874,Does Not Include All Full-Benefit Child Medicaid enrollees,2392157,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2325994,Does Not Include All Full-Benefit Medicaid enrollees,66163,
IL,Illinois,05/01/2018,Y,U,Y,62086,,N/A,,62086,,41499,,14441,,55940,,1398725,,2997641,,44.2394,-114.5103,"(44.2394, -114.5103)",2769780,,227861,
PA,Pennsylvania,11/01/2019,Y,U,Y,90851,Includes Renewals and/or Redeterminations,N/A,,90851,Includes Renewals and/or Redeterminations,85171,Includes Renewals and/or Redeterminations,10422,,95593,Includes Renewals and/or Redeterminations,1387584,,2934647,,35.5376,-96.9247,"(35.5376, -96.9247)",2749094,,185553,
MD,Maryland,10/01/2019,Y,U,Y,7693,,101523,Includes Renewals and/or Redeterminations,109216,Includes Renewals and/or Redeterminations,39494,Includes Renewals and/or Redeterminations,4081,Includes Renewals and/or Redeterminations,43575,Includes Renewals and/or Redeterminations,622786,,1329774,,42.2373,-71.5314,"(42.2373, -71.5314)",1183205,,146569,
NV,Nevada,12/01/2019,Y,U,Y,22368,Includes Renewals/Or redeterminations,N/A,,22368,Includes Renewals/Or redeterminations,13073,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",72,,13145,,295323,,626078,,40.314,-74.5089,"(40.314, -74.5089)",586138,,39940,
HI,Hawaii,05/01/2018,Y,P,N,4481,,N/A,,4481,,5151,,311,,5462,,141869,,339723,,32.9866,-83.6487,"(32.9866, -83.6487)",315343,,24380,
MS,Mississippi,09/01/2019,N,U,Y,18920,,N/A,,18920,,12010,,637,,12647,,419892,,620324,,38.4623,-92.302,"(38.4623, -92.302)",543220,,77104,
LA,Louisiana,04/01/2019,Y,U,Y,28245,,N/A,,28245,,18748,,1953,,20701,,734915,,1547087,,37.669,-84.6514,"(37.669, -84.6514)",1405697,,141390,
ND,North Dakota,09/01/2019,Y,U,Y,2101,,N/A,,2101,,2322,,78,,2400,,42183,,89537,,46.9048,-110.3261,"(46.9048, -110.3261)",87404,,2133,
MA,Massachusetts,03/01/2019,Y,U,Y,18530,,2080,,20610,,,,,,,,669697,,1567177,,31.1801,-91.8749,"(31.1801, -91.8749)",1381476,,185701,
DE,Delaware,11/01/2019,Y,U,Y,4745,,N/A,,4745,,4428,,762,,5190,,105575,,230863,,38.8964,-77.0262,"(38.8964, -77.0262)",219303,,11560,
OH,Ohio,04/01/2020,Y,U,Y,83602,Includes Renewals and/or Redeterminations,N/A,,83602,Includes Renewals and/or Redeterminations,94701,Includes CHIP; Includes Renewals and/or Redeterminations,4802,,99503,Includes Renewals and/or Redeterminations,1184214,,2701204,,38.4199,-117.1219,"(38.4199, -117.1219)",2500525,,200679,
IL,Illinois,11/01/2017,Y,U,Y,78173,,N/A,,78173,,25386,,8197,,33583,,1418987,,3045842,,44.2394,-114.5103,"(44.2394, -114.5103)",2799423,,246419,
MD,Maryland,06/01/2018,Y,U,Y,8512,,95234,Includes Renewals and/or Redeterminations,103746,Includes Renewals and/or Redeterminations,31487,Includes Renewals and/or Redeterminations,3348,Includes Renewals and/or Redeterminations,34835,Includes Renewals and/or Redeterminations,614764,,1312067,,42.2373,-71.5314,"(42.2373, -71.5314)",1161507,,150560,
CA,California,05/01/2020,Y,U,Y,143469,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,143469,,162372,Does Not Include All Medicaid Determinations Made At Application,13194,Does Not Include All CHIP Determinations Made At Application,175566,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4815991,,11740127,,33.7712,-111.3877,"(33.7712, -111.3877)",10448023,,1292104,
ID,Idaho,08/01/2017,Y,P,N,7907,,,,7907,,5992,,367,,6359,,214142,,295186,,42.0046,-93.214,"(42.0046, -93.214)",272772,,22414,
OR,Oregon,10/01/2019,Y,U,Y,13213,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13213,Does Not Include All Non-MAGI Applications,21502,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2486,,23988,Does Not Include All Non-MAGI Determinations Made At Application,416723,,991798,,40.3736,-82.7755,"(40.3736, -82.7755)",862457,,129341,
MA,Massachusetts,06/01/2017,Y,U,Y,23381,,6564,,29945,,,,,,,,684088,,1657695,,31.1801,-91.8749,"(31.1801, -91.8749)",1487863,,169832,
AL,Alabama,12/01/2019,N,U,Y,12103,,N/A,,12103,,12072,,1289,,13361,,666736,,928671,,32.799,-86.8073,"(32.799, -86.8073)",755308,,173363,
RI,Rhode Island,08/01/2019,Y,U,Y,1875,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1875,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2915,,413,,3328,,119943,,301223,,44.5672,-122.1269,"(44.5672, -122.1269)",268738,,32485,
KS,Kansas,12/01/2018,N,P,N,,,N/A,,,,,,,,,,270256,,389535,,39.8647,-86.2604,"(39.8647, -86.2604)",333884,,55651,
KS,Kansas,09/01/2017,N,P,Y,,,N/A,,,,,,,,,,262193,,381853,,39.8647,-86.2604,"(39.8647, -86.2604)",331697,,50156,
NJ,New Jersey,08/01/2018,Y,P,N,33260,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,33260,Does Not Include All Non-MAGI Applications,11683,Does Not Include All Medicaid Determinations Made At Application,5096,Does Not Include All CHIP Determinations Made At Application,16779,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,832833,,1752552,,41.1289,-98.2883,"(41.1289, -98.2883)",1540291,,212261,
NJ,New Jersey,01/01/2019,Y,U,Y,54916,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,54916,Does Not Include All Non-MAGI Applications,18347,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application,7583,,25930,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,821821,,1730812,,41.1289,-98.2883,"(41.1289, -98.2883)",1518570,,212242,
TN,Tennessee,07/01/2017,N,U,Y,528,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,528,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,447,,447,Does Not Include All Medicaid Determinations Made At Application,,,1484821,,41.6772,-71.5101,"(41.6772, -71.5101)",1405280,,79541,
VA,Virginia,03/01/2020,Y,U,Y,30290,Includes Renewals and/or Redeterminations,N/A,,30290,Includes Renewals and/or Redeterminations,35358,Includes Renewals and/or Redeterminations,1264,Includes Renewals and/or Redeterminations,36622,Includes Renewals and/or Redeterminations,758093,,1435647,,35.7449,-86.7489,"(35.7449, -86.7489)",1278878,,156769,
GA,Georgia,06/01/2019,N,U,Y,41789,,N/A,,41789,,22981,,729,,23710,,1263951,,1841182,,27.8333,-81.717,"(27.8333, -81.717)",1631816,,209366,
NJ,New Jersey,07/01/2020,Y,P,Y,40408,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,40408,Does Not Include All Non-MAGI Applications,21268,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,3477,,24745,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,842877,,1787806,,41.1289,-98.2883,"(41.1289, -98.2883)",1548484,,239322,
AL,Alabama,06/01/2018,N,P,N,16859,,N/A,,16859,,24244,,2443,,26687,,631542,,894270,,32.799,-86.8073,"(32.799, -86.8073)",725700,,168570,
NJ,New Jersey,04/01/2020,Y,U,Y,32232,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,32232,Does Not Include All Non-MAGI Applications,21165,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,4706,,25871,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,820990,,1732647,,41.1289,-98.2883,"(41.1289, -98.2883)",1495540,,237107,
SD,South Dakota,11/01/2018,N,P,N,3407,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,3407,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1520,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1520,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78844,,110803,,18.2766,-66.335,"(18.2766, -66.335)",94863,,15940,
ND,North Dakota,05/01/2020,Y,P,N,2006,,N/A,,2006,,1849,,71,,1920,,45446,,95867,,46.9048,-110.3261,"(46.9048, -110.3261)",93488,,2379,
NE,Nebraska,02/01/2018,N,P,N,5714,,N/A,,5714,,6600,,990,,7590,,163085,,244961,,35.6411,-79.8431,"(35.6411, -79.8431)",211139,,33822,
MD,Maryland,11/01/2017,Y,P,N,7293,,123157,Includes Renewals and/or Redeterminations,130450,Includes Renewals and/or Redeterminations,29647,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",5153,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",34800,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",604968,,1301765,,42.2373,-71.5314,"(42.2373, -71.5314)",1155114,,146651,
NC,North Carolina,09/01/2019,N,U,Y,21395,,N/A,,21395,,36405,,4074,,40479,,1199274,,1783490,,32.7673,-89.6812,"(32.7673, -89.6812)",1505280,,278210,
AK,Alaska,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,122334,,61.385,-152.2683,"(61.385, -152.2683)",,,,
KS,Kansas,06/01/2018,N,P,Y,,,N/A,,,,,,,,,,270904,,389737,,39.8647,-86.2604,"(39.8647, -86.2604)",336921,,52816,
MI,Michigan,12/01/2018,Y,U,Y,47116,,N/A,,47116,,46469,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1989,,48458,,948635,Does Not Include All Full-Benefit Child Medicaid enrollees,2333409,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2272586,Does Not Include All Full-Benefit Medicaid enrollees,60823,
PA,Pennsylvania,01/01/2018,Y,U,Y,95922,Includes Renewals and/or Redeterminations,N/A,,95922,Includes Renewals and/or Redeterminations,58757,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",11107,"Count is of Households, Not Individuals",69864,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1410083,,3005347,,35.5376,-96.9247,"(35.5376, -96.9247)",2823793,,181554,
ND,North Dakota,10/01/2018,Y,U,Y,2186,,N/A,,2186,,2175,,62,,2237,,43542,,92526,,46.9048,-110.3261,"(46.9048, -110.3261)",90424,,2102,
WY,Wyoming,08/01/2017,N,P,Y,1712,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1712,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,,,,,,,36924,,60072,,44.0407,-72.7093,"(44.0407, -72.7093)",55730,,4342,
MO,Missouri,03/01/2018,N,U,Y,19976,,N/A,,19976,,10406,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",,,10406,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",630138,,977722,,45.7326,-93.9196,"(45.7326, -93.9196)",946186,,31536,
VT,Vermont,04/01/2019,Y,U,Y,2925,,1933,,4858,Includes Renewals and/or Redeterminations,5392,Includes Renewals and/or Redeterminations,202,,5594,,62432,,156170,,31.106,-97.6475,"(31.106, -97.6475)",151531,,4639,
NC,North Carolina,03/01/2018,N,U,Y,22992,,N/A,,22992,,35639,,3628,,39267,,1201629,,1793406,,32.7673,-89.6812,"(32.7673, -89.6812)",1552552,,240854,
NH,New Hampshire,06/01/2020,Y,P,N,3465,,N/A,,3465,,2694,,249,,2943,,92797,,193436,,47.5362,-99.793,"(47.5362, -99.793)",179122,,14314,
CT,Connecticut,12/01/2019,Y,U,Y,5304,,20612,,25916,,17605,,678,,18283,,332715,,850657,,39.0646,-105.3272,"(39.0646, -105.3272)",830030,,20627,
ME,Maine,01/01/2019,Y,U,Y,9522,,N/A,,9522,,9420,,531,,9951,,105654,,226429,,39.0724,-76.7902,"(39.0724, -76.7902)",215148,,11281,
IN,Indiana,02/01/2018,Y,P,N,87289,,N/A,,87289,,35260,,2942,,38202,,794852,,1462172,,40.3363,-89.0022,"(40.3363, -89.0022)",1354563,,107609,
CA,California,08/01/2019,Y,U,Y,173329,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,173329,,168543,Does Not Include All Medicaid Determinations Made At Application,13305,Does Not Include All CHIP Determinations Made At Application,181848,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4908538,,11752681,,33.7712,-111.3877,"(33.7712, -111.3877)",10444841,,1307840,
WY,Wyoming,11/01/2017,N,P,N,1790,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1790,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,687,,19,,706,,40113,,60010,,44.0407,-72.7093,"(44.0407, -72.7093)",55460,,4550,
MN,Minnesota,10/01/2019,Y,U,Y,6732,,19390,,26122,,18361,,63,,18424,,530404,,1044497,,43.3504,-84.5603,"(43.3504, -84.5603)",1043130,,1367,
WA,Washington,08/01/2017,Y,P,N,17852,,72034,,89886,,44939,,1458,,46397,,839304,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1776259,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1722047,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),54212,
TX,Texas,02/01/2019,N,U,Y,118994,,N/A,,118994,,81430,,14508,,95938,,3383051,,4283333,,33.8191,-80.9066,"(33.8191, -80.9066)",3693097,,590236,
NV,Nevada,02/01/2018,Y,P,Y,18471,Includes Renewals and/or Redeterminations,N/A,,18471,Includes Renewals and/or Redeterminations,11986,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",59,,12045,,306238,,642618,,40.314,-74.5089,"(40.314, -74.5089)",601461,,41157,
RI,Rhode Island,02/01/2019,Y,P,N,1982,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1982,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2943,,406,,3349,,121965,,305183,,44.5672,-122.1269,"(44.5672, -122.1269)",272554,,32629,
KY,Kentucky,09/01/2017,Y,U,Y,9442,,9613,,19055,,13455,,1296,,14751,,559970,,1360852,,38.5111,-96.8005,"(38.5111, -96.8005)",1277614,,83238,
IA,Iowa,06/01/2019,Y,P,N,13544,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13544,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,963,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336836,,692777,,21.1098,-157.5311,"(21.1098, -157.5311)",616469,,76308,
SC,South Carolina,10/01/2017,N,U,Y,23080,,N/A,,23080,,9288,Does Not Include All Medicaid Determinations Made At Application,193,Does Not Include All CHIP Determinations Made At Application,9481,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,648299,,1032730,,40.5773,-77.264,"(40.5773, -77.264)",952712,,80018,
WA,Washington,05/01/2019,Y,U,Y,68679,,69696,,138375,,98868,,1698,,100566,,822580,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1711475,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1645081,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),66394,
TX,Texas,11/01/2019,N,U,Y,111362,,N/A,,111362,,73715,,10471,,84186,,3303002,,4195900,,33.8191,-80.9066,"(33.8191, -80.9066)",3615321,,580579,
WY,Wyoming,03/01/2019,N,P,N,1301,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1301,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,795,,35,,830,,37236,,55855,,44.0407,-72.7093,"(44.0407, -72.7093)",51325,,4530,
CA,California,01/01/2019,Y,U,Y,236381,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,236381,,166680,Does Not Include All Medicaid Determinations Made At Application,15837,Does Not Include All CHIP Determinations Made At Application,182517,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4972495,,11914394,,33.7712,-111.3877,"(33.7712, -111.3877)",10603177,,1311217,
DE,Delaware,11/01/2019,Y,P,N,4745,,N/A,,4745,,4428,,762,,5190,,105575,,230863,,38.8964,-77.0262,"(38.8964, -77.0262)",219303,,11560,
IL,Illinois,03/01/2018,Y,P,N,69424,,N/A,,69424,,41532,,15436,,56968,,1380064,,2961050,,44.2394,-114.5103,"(44.2394, -114.5103)",2734768,,226282,
